"CANT. DE PARTICIPANTES","FEMENINO","MASCULINO","DEPARTAMENTO","PROVINCIA","DISTRITO","CENTRO POBLADO","COMUNIDAD CAMPESINA O NATIVA","NOMBRE DEL EVENTO","TRIMESTRE"
"1","1","0","AMAZONAS","CONDORCANQUI","NIEVA","","ALTO KUIT","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO","PUNO","PUNO","PUNO","ALTO PUNO","CANCELACION DE ACTAS REGISTRALES","IV"
"1","0","1","HUANUCO","LEONCIO PRADO","CASTILLO GRANDE","","C.P CASTILLO GRANDE","INTEGRAL EN REGISTROS CIVILES","IV"
"2","1","1","UCAYALI ","CORONEL PORTILLO ","NUEVA  REQUENA ","","C.P NUEVA ESPERANZA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LORETO ","UCAYALI ","PAMPA HERMOSA ","","C.P NUEVO LORETO","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","HUANUCO ","PUERTO INCA ","PUERTO INCA ","","C.P PORVENIR ","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","HUANUCO ","PUERTO INCA","PUERTO INCA ","","C.P PUERTO SIRA ","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","UCAYALI ","CORONEL PORTILLO ","PUERTO INCA ","","C.P SHEBONYA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","MOQUEGUA","MARISCAL NIETO","SAN CRISTOBAL","","CALACOA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","CUSCO","LA CONVENCION","MEGANTONI","","CAMANA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LA LIBERTAD","VIRÚ","VIRÚ","GUADALUPITO","CAMPO NUEVO","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","LA LIBERTAD","VIRÚ","VIRÚ","GUADALUPITO","CAMPO NUEVO","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","MEGANTONI","","CARPINTERO KIRIGUETI","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","CUSCO","LA CONVENCION","MEGANTONI","","CASHIRIARI","INTEGRAL EN REGISTROS CIVILES","IV"
"2","0","2","UCAYALI ","CORONEL PORTILLO ","IPARIA ","","CC. NN PUEBLO NUEVO DEL CACO ","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","LORETO ","UCAYALI ","CONTAMANA","","CC.NN CANAAN","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","UCAYALI ","CORONEL PORTILLO ","YARINACOCHA ","","CC.NN PUERTO FIRMEZA","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","LORETO ","UCAYALI ","CONTAMANA","","CC.NN NUEVO EDEN ","INTEGRAL EN REGISTROS CIVILES","IV"
